Cha Cha
GTG
Opaul
Oh Darling
Weather
All Alone
You Know
Killin’ on Demand
Evil Fantasy
Redrum
Hope
Metà Vita
K.O
Who Is Freddie Dredd?
I’m a Murderer
Devine
On Me
Devil’s Work
Limbo
Darko
Endless Sea
WTH
REPO
Wrath
Ditty
Abuse
Snake
VIVA NÃO MAIS
Kick Rocks
Hate Your Guts
Want
WITNESS
La Madrague
Zoro / Pure Imagination
Stunna
Necklace
289
Body Parts
CROWN
Stutter
Spongebob*
Moving to America
Blow
No More
Break
What You Know
Murders That I Do
I Gotta
Yellow Love
Greed
Tool
Spring
Speak Up
Movin’ RMX
Ya Bitch
Bitch Made
Doomset
GOOFY
Fucked Up
Heavy
EAT THAT 45
CATCH THIRTYTHREE
Won’t Go Far
SLANGIN’
Creep Through The Street
Go 2 Bed
Need-a-Hit
Jesse*
Go!
Waste
CONDUCTOR
Nasty
Five Nights At Freddy’s
MAN OF YOUR SCARY DREAMS
CAN U FEEL
Don’t Try
Knot Myself
Watch Ya Tone
Causin Havoc
Little Bitch
Feel
CHOP IT UP
Razor Blade
Lust
Big No
Sky
Runnin
Treachery
LUCY
Delete
My Hip
Do Not
Need a Hit (Soudiere Remix)
They Will Know Me
Names That I Know
Ain’t No
Bastard
HOLIDAY
Turn It Out
Taking A Risk
Señorita
Life Is
Overload
Its A Shame
Summer Beach
Gluttony
Ashtray
Joke
Violence
In My Blood
Busy
Regardless
Buck
Tip Toe
Blinded
Pull The Trigger
I Just Wanna Smoke
Heresy
Puppeteer
Fraud
Before I*
Another Land
What I Mean
Time
Depravity*
Cough It Up
JUDGE JUDY WANTS TO FUCK
Never Safe
AINT NO RMX
What The Fuck You Talkin Bout
When I Was A kid (snippet)
MURDERSTHATIDO Remix
Fuck You Heard
Smoke
Drive By
Thoughts
Black Skies
​track 17
Block
11 PM
Don’t Get Kidnapped
FUCK WHAT YOU CLAIM
WOULDNTFUCKWITHME
Ain’t shit Change (Snippet)
BOOF
Hellbound
Devil’s In My Head
Up
NEVERFUCKWITHMii
Brazy
Stain
My Collection
Get U High
Clack
Real One
Do Not RMX
Limgrave
No Trace
Make A Deal
SIC
Killas In The Back
Buck Rmx
Wtf Was That
To Ya Face
Rest
Woo Hoo!
Hate Your Guts RMX
Slice
Situation’s
EAT THAT 45 (Alternative Version)
But I Cry
YA B!TVH
